Word,Pronunciation
ทำใจ,tʰamt͡ɕaj
ผิดปกติ,pʰitpakatiʔ
สะพานไฟ,sapʰaːnfaj
จาเมกา,t͡ɕaːmeːkaː
ความวิปลาส,kʰwaːmwiplaːt
เอาอกเอาใจ,ʔeːaːɔːkʔeːaːt͡ɕaj
รัฐธรรมนูญ,rattʰronmanuːj
การเบิกความ,kaːnbɤkokwaːm
มืด,mɯːt
ความดัน,kʰwaːmdan
แลบ,lɛːb
ปริตยาค,pritjaːk
หมูแดง,hamuːdɛːŋ
สภาพ,sapʰaːp
การปฏิวัติ,kaːnpatiwatiʔ
จุฬา,t͡ɕulaː
หลง,haloŋ
จารชน,t͡ɕaːnt͡ɕʰon
เกอว,kɤːw
พวกเรา,pʰowkreːaː
ตะ,taʔ
เทพยดา,tʰeːpjadaː
สะอึก,saʔɯk
เพทาย,pʰeːtʰaːj
ปลาสนาการ,plaːtnaːkaːn
นมแมว,nommɛːw
วิสามัญ,wisaːmaj
ณ,naʔ
หมีขอ,hamiːkʰɔː
สบง,saboŋ
ขืน,kʰɯːn
ซอ,sɔː
คอ,kʰɔː
โคม,kʰoːm
เงามัว,ŋeːaːmuːa̯
การถวายพระพร,kaːntʰawaːjpʰrapʰon
นิติรัฐ,nitirat
สิบแปด,sibpɛːt
สะดวก,satwok
เทพ,tʰeːp
ปฏิรูป,patiruːp
จุมพฏ,t͡ɕumpʰot
ฉ,t͡ɕʰaʔ
เทวรูป,tʰeːwruːp
อบายมุข,ɔːbaːjmuk
การเยียวยา,kaːnjiːa̯wajaː
จุลศักราช,t͡ɕunsakraːt
เศรษฐ,seːnsot
เอารส,ʔeːaːrot
เตาอบไมโครเวฟ,teːaːɔːbmajkʰoːnweːf
ไดอารี,dajʔaːriː
ทำซาก,tʰamsaːk
โชค,t͡ɕʰoːk
ทารุณ,tʰaːrun
ฟอง,fɔːŋ
เลว,leːw
ความฉิบหาย,kʰwaːmt͡ɕʰibahaːj
หิด,hit
ใจเพชร,t͡ɕajpʰeːt͡ɕʰon
ประกันภัย,prakanpʰaj
จดหมายเสียง,t͡ɕothamaːjsiːa̯ŋ
กะทะ,katʰaʔ
ระแวง,rawɛːŋ
เทพี,tʰeːpʰiː
บัวสาย,buːa̯saːj
พีช,pʰiːt
สารลดแรงตึงผิว,saːnladarɛːŋtɯŋapʰiw
บีตา,biːtaː
ไวโอลิน,wajʔoːlin
แตงโม,tɛːŋmoː
นางพระยา,naːŋpʰrajaː
ภาษาปาก,pʰaːsaːpaːk
กสิ,kasiʔ
ปลีก,pliːk
สลายตัว,salaːjtuːa̯
พลาสมา,pʰlaːtmaː
สูจิ,suːt͡ɕiʔ
ร,raʔ
เอเชีย,ʔeːt͡ɕʰiːa̯
ขรุขระ,kʰrukraʔ
เรียน,riːa̯n
อัปยศ,ʔapjot
แอปเปิล,ʔɛːppɤn
ควิเบก,kʰwibeːk
สิบแปดมงกุฎ,sibpɛːdomŋakut
สนใจ,sont͡ɕaj
คลอก,kʰlɔːk
หาง,haːŋ
กรน,kron
กักตัว,kaktuːa̯
ฮาลาล,haːlaːn
อธิวาส,ɔːtʰiwaːt
ชนบท,t͡ɕʰonbot
ขด,kʰot
ปฤกษา,prʉkasaː
ชูวาเชีย,t͡ɕʰuːwaːt͡ɕʰiːa̯
คานหาม,kʰaːnhaːm
ฟรี,fariː
สักการสถาน,sakkaːrottʰaːn
เบสบอล,beːtbɔːn
บุตร,buton
โยก,joːk
ไวไฟ,wajfaj
สุสาน,susaːn
ซบ,sob
กบนา,kobnaː
กิเลส,kileːt
อีฉัน,ʔiːt͡ɕʰan
ประชาชาติ,prat͡ɕʰaːt͡ɕʰaːtiʔ
ดำเนินคดี,damnɤnkʰadiː
โมโหหิว,moːhoːhiw
มรณภาพ,monnapʰaːp
กินี,kiniː
หีบ,hiːb
โคกูรยอ,kʰoːkuːnjɔː
ยุทธจักร,juttʰat͡ɕakon
กระชาก,krat͡ɕʰaːk
ไง,ŋaj
การหยุดยิง,kaːnhajutjiŋ
ซอก,sɔːk
อัฐ,ʔat
แพ,pʰɛː
ประจิม,prat͡ɕim
ถุงพลาสติก,tʰuŋpʰlaːttik
อาชญากรรมสงคราม,ʔaːtjaːkonramotŋokʰraːm
นฤบดี,narʉbadiː
อายุ,ʔaːjuʔ
ทางการ,tʰaːŋkaːn
คานาซาวะ,kʰaːnaːsaːwaʔ
จาระไน,t͡ɕaːranaj
วีรสตรี,wiːnsotriː
ดีวีดี,diːwiːdiː
ลักษณนาม,laksananaːm
คีม,kʰiːm
รับฟัง,rabfaŋ
นะ,naʔ
เพลา,pʰeːlaː
ชิมแปนซี,t͡ɕʰimpɛːnasiː
อาชญากรรมสงคราม,ʔaːtjaːkonramotŋokʰraːm
การอับปาง,kaːnʔabapaːŋ
ศุภมัสดุ,supmasaduʔ
ลวดหนาม,lowdahanaːm
การแซะ,kaːnsɛʔ
อานุภาพ,ʔaːnupʰaːp
กษีรสาคาร,kasiːnsaːkʰaːn
การลงโทษ,kaːnlaŋatʰoːt
จารีต,t͡ɕaːriːt
หนอน,hanɔːn
รัฐ,rat
แพรว,pʰɛːrow
เกอิชา,keːʔit͡ɕʰaː
ตึก,tɯk
แมวทราย,mɛːwtʰraːj
ตำราเรียน,tamraːriːa̯n
กัน,kan
บอล,bɔːn
จิตรจุล,t͡ɕitrat͡ɕun
อับดุลเลาะ,ʔabdulalɔʔ
โครต,kʰoːrot
อูฐ,ʔuːt
หลุมยุบ,halumjub
การเทศนา,kaːntʰeːsanaː
บีบคอ,biːbkʰɔː
สมภาร,sompʰaːn
ตบ,tob
เรดอน,reːdɔːn
มุกดา,mukdaː
บรม,barom
สอนหนังสือสังฆราช,sɔːnhanaŋsɯːɔːsaŋkʰraːt
อริยมรรค,ɔːrijmararok
ปุสส,pusot
ลืม,lɯːm
อืม,ʔɯːm
แซว,sɛːw
ทำเนียบ,tʰamniːa̯b
ไก,kaj
ขมับ,kʰamab
เบา,beːaː
พี,pʰiː
ตอก,tɔːk
ฮิรางานะ,hiraːŋaːnaʔ
ดัชเชส,datt͡ɕʰeːt
ปรากฤต,praːkrʉtaʔ
สาร,saːn
อุบล,ʔubon
ความลวงโลก,kʰwaːmlawoŋloːk
โบราณคดี,boːraːnkʰadiː
เสนาบดี,seːnaːbdiː
ครอบคลุม,kʰrɔːbkʰlum
อดีตกาล,ɔːdiːtkaːn
เอกอัครราชทูต,ʔeːkʔakʰonraːt͡ɕʰatʰuːt
แคบ,kʰɛːb
ผด,pʰot
เหยียด,heːjiːjot
บริหาร,barihaːn
อวัยวะ,ɔːwajwaʔ
ปิดหีบ,pithiːb
จรรยาบรรณ,t͡ɕonrajaːbraron
กลับตัว,klabtuːa̯
วัฒนธรรม,watnatʰonrom
สีสวาด,siːtwaːt
ตรวจ,tonwot
จักรวรรดินิยม,t͡ɕakrawonradinijom
